month,day,stone_name,color,meaning,source_note
4,4,クリソコラ,,リラクゼーション,monokotoba.com
4,5,カラーレスサファイア,,聖なる力、輝く知性,monokotoba.com
4,6,ブルーダイヤモンド,,オールマイティー,monokotoba.com
4,7,エッグパール,,誕生、多産,monokotoba.com
4,8,パパラチアサファイア,,光の花,monokotoba.com
4,9,桜石,,精神美、潔さ,monokotoba.com
4,10,カラーレスジルコン,,すべてを賭ける恋,monokotoba.com
4,11,オニキス,,遠からぬ成功,monokotoba.com
4,12,ピンクフローライト,,気品、幻想的,monokotoba.com
4,13,バイオレットパール,,自尊心、気高さ,monokotoba.com
4,14,カラーレストパーズ,,知性、天才,monokotoba.com
4,15,スーパーセブン,,宇宙への謎、自然への愛,monokotoba.com
4,16,ヒデナイト,,すがすがしい明るさ、自然の恵み,monokotoba.com
4,17,グリーンスピネル,,希望、信仰、愛情、幸福,monokotoba.com
4,18,ドロマイト,,前進への勇気,monokotoba.com
4,19,カルサイト,,世俗性と精神性,monokotoba.com
4,20,ジェダイト（ひすい）,,福徳、福財,monokotoba.com
4,21,アンダリューサイト,,愛の予感,monokotoba.com
4,22,カメオ,,愛のしるし、恋の告白,monokotoba.com
4,23,砂漠のバラ,,愛と知性,monokotoba.com
4,24,クンツァイト,,恋人到来の前兆,monokotoba.com
4,25,グリーンガーネット,,純愛,monokotoba.com
4,26,アラゴナイト,,母性,monokotoba.com
4,27,カーネリアン,,明晰な思考,monokotoba.com
4,28,キンバーライト,,あなたを守る愛,monokotoba.com
4,29,ヒデナイト原石,,しばしの憩い,monokotoba.com
4,30,シリマナイトキャッツアイ,,警告,monokotoba.com
5,1,アマゾナイト,,気晴らし、時機到来,monokotoba.com
5,2,サルファー,,耐える愛,monokotoba.com
5,3,グリーンジルコン,,平和の願い,monokotoba.com
5,4,ペリドット原石,,偉大な力,monokotoba.com
5,5,レッドコーラル,,幼な心,monokotoba.com
5,6,レモン水晶（硫黄水晶）,,実り、収穫,monokotoba.com
5,7,ホワイトゴールド,,心の成長,monokotoba.com
5,8,エメラルドキャッツアイ,,想像力、福を呼ぶ,monokotoba.com
5,9,ブラックパール（黒真珠）,,静かな力強さ,monokotoba.com
5,10,ターコイズ（トルコ石）,,神聖な愛,monokotoba.com
5,11,ヘミモルファイト,,勇気,monokotoba.com
5,12,カコクセナイト,,栄光、勝利,monokotoba.com
5,13,アイボリー（象牙）,,清純、倫理的強さ,monokotoba.com
5,14,ブルーグリーンジルコン,,去り行く苦しみ,monokotoba.com
5,15,レッドジェダイト（ひすい）,,決断力,monokotoba.com
5,16,天眼石,,自由、自然行動,monokotoba.com
5,17,パープルサファイア,,初恋の思い出,monokotoba.com
5,18,ゴシェナイト,,気品,monokotoba.com
5,19,ラピスラズリ原石,,危機を乗り切る,monokotoba.com
5,20,グリーンゴールド,,満足感,monokotoba.com
5,21,ツインパール,,二人の願い、調和,monokotoba.com
5,22,デンドリッククォーツ,,満足な成長,monokotoba.com
5,23,レインボーガーネット,,夢の愛,monokotoba.com
5,24,ホワイトムーンストーン,,計画,monokotoba.com
5,25,ブルーアンバー,,静かに燃える心,monokotoba.com
5,26,コパー（銅）,,恋のとりこ,monokotoba.com
5,27,ヴェルデライト（グリーントルマリン）,,内面のパワーアップ,monokotoba.com
5,28,ホワイトカルセドニー,,エレガント,monokotoba.com
5,29,グロッシュラーガーネット,,目標に至る幸運,monokotoba.com
5,30,ツァボライト,,影響力,monokotoba.com
5,31,スモーキークォーツ原石,,やすらぎ,monokotoba.com
6,1,カラーチェンジサファイア,,二面性,monokotoba.com
6,2,アクアマリン,,気高い美しさ,monokotoba.com
6,3,ピンクダイヤモンド,,可憐・優美,monokotoba.com
6,4,オドントライト,,攻撃と防御,monokotoba.com
6,5,アレキサンドライト,,選択と変身,monokotoba.com
6,6,トルマレイテッドクォーツ（トルマリン入り水晶）,,積極的行動,monokotoba.com
6,7,ピンクパール,,辛抱強い愛,monokotoba.com
6,8,ラリマー,,安らぎ,monokotoba.com
6,9,バロックパール,,芸術性,monokotoba.com
6,10,クリスタル原石,,万物との調和、氷の化石,monokotoba.com
6,11,アポフィライト,,よい噂,monokotoba.com
6,12,マベパール,,魅力,monokotoba.com
6,13,ウンバライトガーネット,,内気、はにかみ,monokotoba.com
6,14,ブラジリアナイト,,リフレッシュ,monokotoba.com
6,15,レインボーオブシディアン,,道を照らす,monokotoba.com
6,16,ブルーオパール,,爽やかな愛情表現,monokotoba.com
6,17,ドラバイト,,落ち着き,monokotoba.com
6,18,ゴールドナゲット,,大いなる野望,monokotoba.com
6,19,フェナカイト,,変身,monokotoba.com
6,20,グリーンフローライト,,秘められた美徳,monokotoba.com
6,21,サーペンティン,,保護,monokotoba.com
6,22,サンストーン,,輝き,monokotoba.com
6,23,ルビーインゾイサイト,,ひかえめな愛の表現,monokotoba.com
6,24,ウォーターオパール,,乙女の恋心,monokotoba.com
6,25,マラカイト,,危険な愛情,monokotoba.com
6,26,スペサルティンガーネット,,秘めた情熱,monokotoba.com
6,27,フェアリークォーツ,,自然の魅力,monokotoba.com
6,28,ブルージルコン,,幻覚、夢みる思い,monokotoba.com
6,29,ジャスパー,,克己心,monokotoba.com
6,30,ウレキサイトキャッツアイ,,心眼,monokotoba.com
7,1,アクアマリン,,旅情、達成された望み,monokotoba.com
7,2,バリサイト,,自然の稔り,monokotoba.com
7,3,ヒマラヤ水晶クラスター（カンチェンジュンガ山産）,,快心,monokotoba.com
7,4,スターダイトオプサイド,,幸運への道しるべ,monokotoba.com
7,5,プラチナ,,婚姻の約束,monokotoba.com
7,6,オブシディアン,,摩訶不思議,monokotoba.com
7,7,スターローズクォーツ,,逢瀬,monokotoba.com
7,8,ミルキーオパール,,ときめき,monokotoba.com
7,9,スギライト,,癒し,monokotoba.com
7,10,ショールトルマリン,,健康,monokotoba.com
7,11,半円真珠,,新しい出会い,monokotoba.com
7,12,ビキシバイト（レッドベリル）,,欲情を刺激,monokotoba.com
7,13,クリソベリル原石,,ロマンチックなシグナル,monokotoba.com
7,14,スリーカラーフローライト,,多面性,monokotoba.com
7,15,レインボーヒマラヤ水晶,,虹の結晶,monokotoba.com
7,16,アズライト（アジュライト）,,瞑想力,monokotoba.com
7,17,砂金,,輝く未来,monokotoba.com
7,18,レインボームーンストーン,,密会,monokotoba.com
7,19,セレナイト,,天上の癒し,monokotoba.com
7,20,アクアマリンキャッツアイ,,光明,monokotoba.com
